date,open,high,low,close,volume
13-03-2017,31.030,31.320,30.550,30.730,9739936
06-03-2017,31.380,31.860,30.430,30.940,13735536
27-02-2017,31.460,32.230,30.750,31.460,15644943
20-02-2017,32.000,32.140,31.330,31.440,9020039
13-02-2017,31.460,32.200,31.090,32.000,10332106
06-02-2017,31.900,32.420,31.330,31.570,11744005
30-01-2017,31.940,32.420,31.800,32.250,8411016
23-01-2017,31.800,32.590,31.670,32.170,10091706
16-01-2017,31.600,32.190,31.440,31.880,8555266
09-01-2017,31.550,31.970,31.090,31.880,6797493
30-12-2016,31.770,31.970,31.110,31.160,3456345
23-12-2016,31.200,31.800,30.620,31.680,9252839
19-12-2016,31.360,32.000,30.620,31.100,15924842
12-12-2016,30.540,31.700,29.750,31.480,14591931
05-12-2016,30.450,31.790,29.500,30.350,21265727
28-11-2016,30.250,31.490,30.170,30.390,13595953
21-11-2016,28.580,30.140,28.570,29.790,12571463
14-11-2016,28.350,29.220,27.010,28.910,12984374
07-11-2016,27.870,28.380,27.390,28.320,9822551
31-10-2016,29.150,29.150,27.870,28.370,10174443
24-10-2016,29.200,29.910,28.840,28.990,7982917
17-10-2016,30.000,30.230,28.895,29.100,11117695
10-10-2016,28.960,29.940,28.630,29.840,10814983
03-10-2016,27.000,29.025,26.480,28.860,18863856
26-09-2016,26.720,27.500,26.620,27.130,13607520
19-09-2016,27.570,27.970,26.795,27.130,10746669
12-09-2016,28.560,28.900,27.350,27.570,10751838
05-09-2016,28.910,29.120,27.700,28.510,13282131
29-08-2016,29.210,29.950,28.600,28.840,15108948
22-08-2016,27.500,29.620,27.420,29.320,13154621
15-08-2016,27.550,27.750,27.000,27.390,8052015
08-08-2016,26.520,27.460,26.100,27.410,12814221
01-08-2016,27.150,27.225,26.290,27.040,13461558
25-07-2016,27.000,27.670,26.960,27.350,11222514
18-07-2016,26.830,27.360,26.600,26.850,9755508
11-07-2016,26.750,26.960,25.940,26.760,10275684
04-07-2016,25.260,27.100,25.110,26.790,11580742
27-06-2016,27.260,27.350,25.370,25.850,15918475
20-06-2016,26.490,27.470,25.740,27.470,15368856
